symbol,date,close,high,low,open,volume,adjclose,adjhigh,adjlow,adjopen,adjvolume,divcash,splitfactor,return,hl_pct,co_pct,close_ma_3,close_ma_5,close_ma_10,close_ma_20,close_ma_50,ma20,ma50,ma20_slope,ma50_slope,ma_cross_dist,rsi,atr_14,bb_width,stoch_k,stoch_d,close_lag_1,return_lag_1,volume_lag_1,close_lag_2,return_lag_2,volume_lag_2,close_lag_3,return_lag_3,volume_lag_3,close_lag_4,return_lag_4,volume_lag_4,close_lag_5,return_lag_5,volume_lag_5,close_lag_10,return_lag_10,volume_lag_10,candle_body_pct,upper_wick_pct,lower_wick_pct,is_doji,is_hammer,is_inverted_hammer,volume_ma5,volume_ma20,volume_rank_20,vol_regime,Next_Return,Next_Direction,Signal_Heuristic
GOOG,2016-06-01,36.4580078125,36.60996778458501,36.28469433481335,36.47687967399784,25072000,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,-0.005107746497736598,0,0
GOOG,2016-06-02,36.27178955078125,36.40189971478329,35.96240613818177,36.3760754557973,26836000,,,,,,,,-0.005107746497736598,0.008921865710395016,-0.0005173650176907897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4580078125,0.0,25072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058018450356433285,0.40915762009040385,0.5328239295531628,1,1,0,0.0,0.0,0.0,0,-0.0110351527991156,0,0
GOOG,2016-06-03,35.871524810791016,36.22659317835348,35.783129018358565,36.215670154497545,24526000,,,,,,,,-0.0110351527991156,0.012116677507356533,-0.0028668816992853626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.27178955078125,-0.005107746497736598,26836000.0,36.4580078125,0.0,25072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23728652833213637,0.05875912723385743,0.7039543444340062,0,1,0,0.0,0.0,0.0,0,-0.008015628215224058,0,0
GOOG,2016-06-06,35.58399200439453,35.999150272449384,35.48765115931807,35.999150272449384,31306000,,,,,,,,-0.008015628215224058,0.012362567867801169,-0.009502663963924757,36.20044072469076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.871524810791016,-0.0110351527991156,24526000.0,36.27178955078125,-0.005107746497736598,26836000.0,36.4580078125,0.0,25072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760386853144422,0.024631131084105817,0.19933018360145197,0,0,0,0.0,0.0,0.0,0,0.00013947061200902944,1,0
GOOG,2016-06-07,35.58895492553711,35.853642159760845,35.58398784856902,35.747370960769395,26724000,,,,,,,,0.00013947061200902944,0.014374416256280236,-0.011532446319228232,35.90910212198893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.58399200439453,-0.008015628215224058,31306000.0,35.871524810791016,-0.0110351527991156,24526000.0,36.27178955078125,-0.005107746497736598,26836000.0,36.4580078125,0.0,25072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8116500251844451,0.0,0.1883499748155549,0,0,0,0.0,0.0,0.0,0,0.01622821370349392,1,0
GOOG,2016-06-08,36.166500091552734,36.18090120347063,35.784114766263215,35.95196861033017,31674000,,,,,,,,0.01622821370349392,0.007576910076624063,-0.004431543662501434,35.68149058024088,35.95485382080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.58895492553711,0.00013947061200902944,26724000.0,35.58399200439453,-0.008015628215224058,31306000.0,35.871524810791016,-0.0110351527991156,24526000.0,36.27178955078125,-0.005107746497736598,26836000.0,36.4580078125,0.0,25072000.0,0.0,0.0,0.0,0.5874782217725951,0.39410161299387936,0.018420165233525455,0,0,0,26892800.0,0.0,0.0,0,0.00041209467819847134,1,0
GOOG,2016-06-09,36.18140411376953,36.22907820590988,35.87132360443545,35.89784499400729,19778000,,,,,,,,0.00041209467819847134,0.010971104093649727,0.005967169240377092,35.779815673828125,35.89655227661133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.166500091552734,0.01622821370349392,31674000.0,35.58895492553711,0.00013947061200902944,26724000.0,35.58399200439453,-0.008015628215224058,31306000.0,35.871524810791016,-0.0110351527991156,24526000.0,36.27178955078125,-0.005107746497736598,26836000.0,0.0,0.0,0.0,0.5406724149455241,0.03629436534991821,0.42303321970455776,0,0,0,28213200.0,0.0,0.0,0,-0.012586114661258918,0,0
GOOG,2016-06-10,35.72602081298828,36.0478162018959,35.57803145783332,35.728998786187255,24328000,,,,,,,,-0.012586114661258918,0.009887803147426093,0.0078990568879434,35.97895304361979,35.878475189208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.18140411376953,0.00041209467819847134,19778000.0,36.166500091552734,0.01622821370349392,31674000.0,35.58895492553711,0.00013947061200902944,26724000.0,35.58399200439453,-0.008015628215224058,31306000.0,35.871524810791016,-0.0110351527991156,24526000.0,0.0,0.0,0.0,0.7926078898596869,0.1332592004236054,0.07413290971670773,0,0,0,26801600.0,0.0,0.0,0,-0.0014596339148449378,0,0
GOOG,2016-06-13,35.67387390136719,36.02546794570818,35.58200381238799,35.58200381238799,25178000,,,,,,,,-0.0014596339148449378,0.013149652084728897,-8.334891265200225e-05,36.02464167277018,35.84937438964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.72602081298828,-0.012586114661258918,24328000.0,36.18140411376953,0.00041209467819847134,19778000.0,36.166500091552734,0.01622821370349392,31674000.0,35.58895492553711,0.00013947061200902944,26724000.0,35.58399200439453,-0.008015628215224058,31306000.0,0.0,0.0,0.0,0.0063390164040250845,0.6786457409229416,0.31501524267303327,1,0,1,26762000.0,0.0,0.0,0,-0.00012521798194375933,0,0
GOOG,2016-06-14,35.66940689086914,35.877978665493,35.41365356657423,35.58051477504307,26122000,,,,,,,,-0.00012521798194375933,0.012431061861862873,0.0025819256684811655,35.860432942708336,35.86735076904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.67387390136719,-0.0014596339148449378,25178000.0,35.72602081298828,-0.012586114661258918,24328000.0,36.18140411376953,0.00041209467819847134,19778000.0,36.166500091552734,0.01622821370349392,31674000.0,35.58895492553711,0.00013947061200902944,26724000.0,0.0,0.0,0.0,0.20716464326296935,0.7928353567370306,0.0,0,0,1,25536400.0,0.0,0.0,0,0.0009048693650333117,1,0
