date,open,high,low,close,volume,pct_change,daily_return,volatility_5d,volatility_20d,symbol
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,,,,,GOOGL
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,0.07948372950615457,7.9750000000000085,,,GOOGL
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,0.010063706028990982,1.0900000000000034,,,GOOGL
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,-0.0414076782449726,-4.530000000000001,,,GOOGL
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,0.010775245542099743,1.1299999999999955,,,GOOGL
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,0.018018867924528337,1.9099999999999966,0.042984179289402444,,GOOGL
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,-0.01630988786952081,-1.759999999999991,0.02475648373791186,,GOOGL
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,-0.039001413094677306,-4.140000000000001,0.02747611018631838,,GOOGL
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,0.003529065777864826,0.35999999999999943,0.023101253974062996,,GOOGL
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,-0.020709192146136646,-2.1200000000000045,0.022134109796304004,,GOOGL
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,0.012568578553616039,1.2600000000000051,0.020422213494206816,,GOOGL
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,-0.014776869273963156,-1.5,0.020352430730892747,,GOOGL
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,0.015698430156984244,1.5699999999999932,0.016289317708938145,,GOOGL
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,0.007088009450679333,0.7199999999999989,0.016597234895030833,,GOOGL
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,9.77517106550696e-05,0.010000000000005116,0.012119370879446895,,GOOGL
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,0.029518131169973483,3.019999999999996,0.016607461652480136,,GOOGL
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,0.020601917782208323,2.1700000000000017,0.01147307072389088,,GOOGL
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,0.037116279069767444,3.989999999999995,0.015333953373805385,,GOOGL
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,0.004574401291595809,0.5100000000000051,0.015849906796223025,,GOOGL
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,0.01758928571428564,1.9699999999999989,0.012349217764244207,,GOOGL
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,0.03088532069842942,3.519999999999996,0.012573718831426113,0.027208217704281626,GOOGL
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,0.015916248191335525,1.8700000000000045,0.012888928098464435,0.02158277468705951,GOOGL
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,-0.012734584450402098,-1.519999999999996,0.016335008946555332,0.02190599483393512,GOOGL
2004-09-22,117.45,119.67,116.81,118.38,7581200.0,0.0045824847250508505,0.539999999999992,0.0163341839434226,0.019132132726984538,GOOGL
2004-09-23,118.84,122.63,117.02,120.82,8535600.0,0.020611589795573648,2.4399999999999977,0.016679791744817648,0.01937937545878,GOOGL
2004-09-24,120.97,124.1,119.76,119.83,9123400.0,-0.008194007614633292,-0.9899999999999949,0.014551758555038964,0.019462877621056605,GOOGL
2004-09-27,119.56,120.88,117.8,118.26,7066100.0,-0.013101894350329601,-1.5699999999999932,0.014415195130502977,0.01928668178218912,GOOGL
2004-09-28,121.15,127.4,120.21,126.86,16929000.0,0.07272112294943334,8.599999999999994,0.03463703448189299,0.021717053647341666,GOOGL
2004-09-29,126.53,135.02,126.23,131.08,30516400.0,0.033265016553681415,4.220000000000013,0.034788170085662075,0.02217873697879803,GOOGL
2004-09-30,129.899,132.3,129.0,129.6,13758000.0,-0.011290814769606472,-1.4800000000000182,0.03769519827282249,0.021523088217408157,GOOGL
2004-10-01,130.8,134.24,128.9,132.58,15124800.0,0.022993827160493918,2.980000000000018,0.0354791571998879,0.02163455642938106,GOOGL
2004-10-04,135.275,136.87,134.03,135.06,13022700.0,0.018705687132297477,2.4799999999999898,0.03033279554987016,0.02058858187712401,GOOGL
