fiscaldateending,reportedcurrency,grossprofit,totalrevenue,costofrevenue,costofgoodsandservicessold,operatingincome,sellinggeneralandadministrative,researchanddevelopment,operatingexpenses,netinterestincome,interestincome,interestexpense,othernonoperatingincome,depreciationandamortization,incomebeforetax,incometaxexpense,netincomefromcontinuingoperations,ebit,ebitda,netincome,date,symbol
2010-09-30,USD,4734000000,7286000000,2552000000,2552000000,2547000000,532000000,994000000,2187000000,604000000.0,653000000.0,172000000,354000000.0,342000000,2714000000,547000000,0,2714000000,3056000000,2167000000,2010-09-30,GOOGL
2010-06-30,USD,4353000000,6820000000,2467000000,2467000000,2365000000,461000000,898000000,1988000000,604000000.0,653000000.0,136000000,354000000.0,342000000,2434000000,594000000,0,2365000000,2707000000,1840000000,2010-06-30,GOOGL
2010-03-31,USD,4323000000,6775000000,2452000000,2452000000,2488000000,410000000,818000000,1835000000,604000000.0,653000000.0,95000000,354000000.0,331000000,2506000000,551000000,0,2488000000,2819000000,1955000000,2010-03-31,GOOGL
2009-12-31,USD,4265463000,6673863000,2408400000,2408400000,2480983000,465059000,736234000,1784480000,604000000.0,653000000.0,66862000,354000000.0,365506000,2568671000,594571000,0,2481021000,2846527000,1974100000,2009-12-31,GOOGL
2009-09-30,USD,3719000000,5945000000,2226000000,2226000000,2074000000,389000000,758000000,1645000000,604000000.0,653000000.0,46702000,354000000.0,379000000,2067000000,428000000,0,2074000000,2453000000,1639000000,2009-09-30,GOOGL
2009-06-30,USD,3415000000,5523000000,2108000000,2108000000,1874000000,364000000,708000000,1541000000,604000000.0,653000000.0,50017000,354000000.0,377000000,1856000000,371000000,0,1874000000,2251000000,1485000000,2009-06-30,GOOGL
2009-03-31,USD,3407000000,5509000000,2102000000,2102000000,1884000000,447000000,642000000,1523000000,604000000.0,653000000.0,66092000,354000000.0,403000000,1890000000,467000000,0,1884000000,2287000000,1423000000,2009-03-31,GOOGL
2008-12-31,USD,3510945000,5700950000,2190005000,2190005000,1860205000,411361000,733341000,1650740000,604000000.0,653000000.0,88447000,354000000.0,385510000,835347000,452905000,0,1860251000,2245761000,382442000,2008-12-31,GOOGL
2008-09-30,USD,3368010000,5541400000,2173390000,2173390000,1647565000,507064000,704571000,1720445000,604000000.0,653000000.0,90996000,354000000.0,386246000,1668782000,378844000,0,1647574000,2033820000,1289938000,2008-09-30,GOOGL
2008-06-30,USD,3219625000,5367200000,2147575000,2147575000,1577965000,474910000,682210000,1641660000,604000000.0,653000000.0,88086000,354000000.0,391607000,1635888000,388497000,0,1577953000,1969560000,1247391000,2008-06-30,GOOGL
